FECHA DE REPORTE;ID;ORDEN DE DROPSHIPPER;HORA;FECHA;NOMBRE CLIENTE;TELÉFONO;EMAIL;TIPO DE IDENTIFICACION;NRO DE IDENTIFICACION;NÚMERO GUIA;ESTATUS;TIPO DE ENVIO;DEPARTAMENTO DESTINO;CIUDAD DESTINO;DIRECCION;NOTAS;TRANSPORTADORA;NUMERO DE FACTURA;VALOR FACTURADO;TOTAL DE LA ORDEN;GANANCIA;PRECIO FLETE;COSTO DEVOLUCION FLETE;COMISION;NOVEDAD;FUE SOLUCIONADA LA NOVEDAD;HORA DE NOVEDAD;FECHA DE NOVEDAD;SOLUCIÓN;HORA DE SOLUCIÓN;FECHA DE SOLUCIÓN;OBSERVACIÓN;HORA DE ÚLTIMO MOVIMIENTO;FECHA DE ÚLTIMO MOVIMIENTO;ÚLTIMO MOVIMIENTO;CONCEPTO ÚLTIMO MOVIMIENTO;UBICACIÓN DE ÚLTIMO MOVIMIENTO;VENDEDOR;TIPO DE TIENDA;TIENDA;ID DE ORDEN DE TIENDA;NUMERO DE PEDIDO DE TIENDA;TAGS;FECHA GENERACION DE GUIA;USUARIO GENERACION DE GUIA;CODIGO POSTAL;CONTADOR DE INDEMNIZACIONES;CONCEPTO ÚLTIMA INDENMIZACIÓN;CATEGORÍAS
05-05-2026;72916670;SI;15:31;21-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056748733;NOVEDAD;CON RECAUDO;ATLANTICO;BARRANQUILLA;Información solo visible para el Dropshipper;;ENVIA;;;139900;0;20805,5;0;0;COORDINAR LA ENTREGA;NO;00:00;04-05-2026;;;;;12:33;25-04-2026;EN BODEGA ORIGEN;EN BODEGA ORIGEN;ESTADO;;;;;;;25/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;72150548;SI;11:39;14-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056641355;NOVEDAD;CON RECAUDO;BOLIVAR;CARTAGENA;Información solo visible para el Dropshipper;FAVOR TALLA XXL;ENVIA;;;139900;0;20805,5;0;0;DESTINATARIO SE REHUSA A RECIBIR;SI;00:00;04-05-2026;Ojo se soluciono para ofrecer el día 04 de mayo de 2026, no ha tenido segundo ofrecimiento en dirección, se coordina entrega con el cliente , favor ofrecer de manera  urgente;11:27;04-05-2026;;18:54;17-04-2026;EN BODEGA ORIGEN;EN BODEGA ORIGEN;ESTADO;;;;;;;16/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73709664;SI;08:42;29-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240051365046;RECLAME EN OFICINA;CON RECAUDO;TOLIMA;MELGAR;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;139900;0;23265,5;0;0;;NO;;;;;;;20:08;29-04-2026;TRANSITO NACIONAL;TRANSITO NACIONAL;;;;;;;;29/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73654818;SI;16:21;28-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240051328716;RECLAME EN OFICINA;CON RECAUDO;NARIÑO;BARBACOAS;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;139900;0;23265,5;0;0;;NO;;;;;;;18:10;29-04-2026;ADMITIDA;ADMITIDA;;;;;;;;28/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73495782;SI;11:09;27-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240051192042;RECLAME EN OFICINA;CON RECAUDO;MAGDALENA;ARIGUANI;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;159900;0;24165,5;0;0;;NO;;;;;;;18:10;28-04-2026;ADMITIDA;ADMITIDA;;;;;;;;27/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73474333;SI;09:04;27-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240051191156;RECLAME EN OFICINA;CON RECAUDO;CORDOBA;PUERTO LIBERTADOR;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;359900;0;36245,5;0;0;;NO;;;;;;;16:15;28-04-2026;ADMITIDA;ADMITIDA;;;;;;;;27/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73289004;SI;08:21;25-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240051083017;RECLAME EN OFICINA;CON RECAUDO;CESAR;LA JAGUA DE IBIRICO;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;250000;0;28220;0;0;;NO;;;;;;;20:09;27-04-2026;TRANSITO URBANO;TRANSITO URBANO;;;;;;;;25/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73190214;SI;08:55;24-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240050962823;RECLAME EN OFICINA;CON RECAUDO;QUINDIO;LA TEBAIDA;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;150000;0;23720;0;0;;NO;;;;;;;18:06;24-04-2026;TRANSITO URBANO;TRANSITO URBANO;;;;;;;;24/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;72983605;SI;09:54;22-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240050821750;RECLAME EN OFICINA;CON RECAUDO;CORDOBA;SAN BERNARDO DEL VIENTO;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;129900;0;22815,5;0;0;;NO;;;;;;;01:13;24-04-2026;TRANSITO NACIONAL;TRANSITO NACIONAL;;;;;;;;22/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;72983112;SI;09:50;22-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240050821764;RECLAME EN OFICINA;CON RECAUDO;VALLE;YUMBO;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;139900;0;18365,5;0;0;;NO;;;;;;;18:12;23-04-2026;ADMITIDA;ADMITIDA;;;;;;;;22/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;72975330;SI;08:51;22-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240050816736;RECLAME EN OFICINA;CON RECAUDO;CHOCO;QUIBDO;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;129900;0;22815,5;0;0;;NO;;;;;;;01:13;23-04-2026;CENTRO ACOPIO;CENTRO ACOPIO;;;;;;;;22/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;72882982;SI;10:29;21-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240050745996;RECLAME EN OFICINA;CON RECAUDO;LA GUAJIRA;MAICAO;Información solo visible para el Dropshipper;CAMISETA TALLA M PANTALONETA L;INTERRAPIDISIMO;;;249900;0;28215,5;0;0;;NO;;;;;;;01:14;24-04-2026;TRANSITO NACIONAL;TRANSITO NACIONAL;;;;;;;;21/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;72743407;SI;08:22;20-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240050628871;RECLAME EN OFICINA;CON RECAUDO;SUCRE;COROZAL;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;139900;0;23265,5;0;0;;NO;;;;;;;18:16;22-04-2026;ADMITIDA;ADMITIDA;;;;;;;;20/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;71609441;SI;10:27;09-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056578134;DEVOLUCION;CON RECAUDO;SUCRE;SINCELEJO;Información solo visible para el Dropshipper;FAVOR ENVIAR TALLA XXL;ENVIA;;;359900;0;31784,5;15589;0;COORDINAR LA ENTREGA;SI;00:00;21-04-2026;Favor ofrecer en oficina de Envia, CL. 38 No. 6-158 Troncal de Occidente, Bodegas 3 y 4 Sincelejo, cliente indica que pasa el día miércoles 22-04-26 a reclamar;18:39;21-04-2026;;18:12;10-04-2026;EN BODEGA ORIGEN;EN BODEGA ORIGEN;ESTADO;;;;;;;10/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;72347475;SI;08:10;16-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240050385181;RECLAME EN OFICINA;CON RECAUDO;ATLANTICO;SUAN;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;250000;0;28220;0;0;;NO;;;;;;;18:09;17-04-2026;ADMITIDA;ADMITIDA;;;;;;;;16/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
